1:EDIT-huset:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
2:ES52:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
3:ES51:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
4:3207:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
5:3211:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
6:3205:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
7:5213:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
8:Linsen:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
9:DC:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
10:Kajsabaren:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
11:Hubben:57688018,11977886,57688384,11979217,57687811,11979723,57687494,11978358
